,line
0,"['[37.625342,55.726962],[37.625505,55.726659]']"
1,"['[37.626555,55.731733],[37.625649,55.730064]']"
2,"['[37.625206,55.727647],[37.625342,55.726962]']"
3,"['[37.622251,55.723947],[37.622203,55.722637]']"
4,"['[37.622673,55.723922],[37.622251,55.723947]']"
5,"['[37.625803,55.72961],[37.625206,55.727647]']"
6,"['[37.627292,55.732519],[37.626555,55.731733]']"
7,"['[37.625505,55.726659],[37.627742,55.72211]']"
8,"['[37.623808,55.729219],[37.622673,55.723922]']"
9,"['[37.625375,55.730082],[37.624114,55.730023]']"
10,"['[37.624114,55.730023],[37.624165,55.729739]']"
11,"['[37.625649,55.730064],[37.625375,55.730082]']"
12,"['[37.625649,55.730064],[37.625803,55.72961]']"
13,"['[37.625505,55.726659],[37.626241,55.724996]']"
14,"['[37.629641,55.73052],[37.629803,55.730415]']"
15,"['[37.629803,55.730415],[37.626749,55.730126]']"
16,"['[37.626749,55.730126],[37.626724,55.7302]']"
17,"['[37.626724,55.7302],[37.625681,55.730124]']"
18,"['[37.624165,55.729739],[37.623889,55.729608]']"
19,"['[37.623889,55.729608],[37.623808,55.729219]']"
